id,name,citations,year,title,url
939,Duncan Irschick,4,2016,Ontogeny of head and caudal fin shape of an apex marine predator: The tiger shark (Galeocerdo cuvier),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,4,2015,A performance-based approach to studying costs of reliable signals,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,4,2009,"Functional morphology: Muscles, elastic mechanisms, and animal performance",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,4,2002,An imperfect solution to optimality: taking the fun out of adaptation,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,4,2001,Does power limit climbing performance? Loading small climbing lizards.,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,3,2012,Biomimetics: Looking Beyond Fibrillar Features to Scale Gecko‐Like Adhesion (Adv. Mater. 8/2012),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,3,2002,Studying performance in nature: implications for fitness variation within populations.,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2015,Devices for application and load bearing and method of using the same,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2015,Does whole-organism performance constrain resource use? A community test with desert lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2014,A new metric for measuring condition in large predatory sharks,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2007,13.1. Rapid evolutionary divergence in feeding mechanics after the colonization of new environments in lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2004,"The evolution of jumping performance in Caribbean Anolis lizards: solutions to biomechanical trade-offs (vol 163, pg 844, 2004)",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,2003,"Comparing habitat use, morphology, and performance in two divergent anolis lizard populations",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,2,1999,Three-dimensional kinematics of the hindlimb during locomotion vary ontogenetically in lizards.,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2016,Weight-bearing adhesives with adjustable angles,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2014,Functional ecology: moving forward into a new era of publishing,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2009,"Thermal tolerance and Hsp70 expression in the Western fence lizard, Sceloporus occidentalis: Geographic variation in measures of acute stress and their role in selection on sprint speeds.",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2007,Morphological and biomechanical correlates of differences in arboreal locomotor performance and substrate use in Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2006,"Linking badge morphology, performance, and field behavior in the ornate tree lizard, Urosaurus ornatus",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2006,The persistence of environmentally-induced phenotypic variation in western fence lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2005,Effects of substrate diameter on acceleration capacity in Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,1,2005,Divergent roles for different color signals in a polygynous lizard: A test of the reinforcement and dual-function hypotheses,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
